PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
178;2021;4;9999;17;0;3;7;5;0;0;0;1;57;0;30;10;2;20;8;11;20;18757;438;1389;1;0
178;2022;4;9999;17;5;5;6;5;1;0;0;0;60;1;33;2;0;25;13;6;21;20898;1334;963;0;0
181;2019;5;9999;12;3;7;2;2;1;1;0;0;67;0;51;28;7;10;8;3;9;14060;1766;590;0;0
181;2020;5;9999;16;9;8;8;5;0;3;0;0;66;3;53;21;5;6;17;2;9;16350;2122;0;0;0
181;2021;5;9999;6;3;2;0;1;1;1;0;0;73;0;29;8;1;4;2;3;3;6537;612;0;0;0
197;2019;5;9999;12;2;2;4;-7;0;0;0;0;60;1;27;121;68;4;4;6;9;10185;11;506;0;0
197;2020;5;9999;16;3;4;7;5;0;0;0;0;66;1;27;166;94;7;12;8;10;13928;2048;590;1;0
197;2021;2;9999;24;6;8;8;19;0;0;0;0;63;0;36;311;179;13;8;8;11;21964;0;2413;0;0
208;2019;6;9999;4;0;0;0;-1;0;0;0;0;60;0;4;1;0;1;4;3;5;4792;770;255;0;0
208;2020;6;9999;5;1;1;2;-2;0;0;0;0;66;0;7;0;0;0;3;3;2;6133;1023;72;0;0
208;2021;6;9999;6;1;1;0;1;0;0;0;0;70;0;13;1;1;3;3;3;5;8656;0;336;0;0
209;2019;6;9999;4;0;0;0;-2;0;0;0;0;57;0;10;0;0;6;3;1;5;4884;770;172;0;0
209;2020;6;9999;5;0;1;12;-3;0;1;0;0;56;0;9;2;1;4;0;5;5;5426;456;658;0;0
209;2021;6;9999;6;0;1;4;-4;0;0;0;0;56;0;12;0;0;15;3;3;6;7949;0;95;0;0
215;2019;6;9999;4;0;0;4;-2;0;0;0;0;59;0;6;9;2;2;2;3;9;4143;694;0;0;0
215;2020;6;9999;5;1;1;2;-6;1;0;0;0;63;0;22;12;5;2;1;1;2;4932;986;0;0;0
215;2021;6;9999;6;1;1;2;-4;1;0;0;0;68;0;22;17;5;8;3;6;7;7554;706;0;0;0
227;2020;6;9999;5;1;4;4;0;0;1;0;0;59;1;9;5;1;0;0;1;0;3796;986;0;0;0
227;2021;6;9999;6;0;2;0;-3;0;1;0;0;59;0;15;0;0;3;4;1;6;7428;705;0;0;0
227;2022;6;9999;11;4;6;0;3;0;3;0;0;71;1;30;0;0;2;0;6;8;9734;1162;0;0;0
241;2019;7;9999;17;5;4;6;5;0;0;0;0;57;2;28;6;2;57;4;1;2;14571;0;0;0;0
241;2020;7;9999;7;0;2;0;-3;0;0;0;0;59;0;10;19;10;12;6;2;9;6475;0;426;0;0
241;2021;7;9999;4;1;1;2;0;0;0;0;0;68;0;10;16;7;9;2;0;5;3523;226;319;0;0
244;2019;7;9999;17;7;5;0;7;0;0;0;0;59;0;44;22;8;15;23;6;9;17690;0;405;0;0
244;2020;7;9999;7;1;2;0;-4;0;1;0;0;64;0;15;15;7;8;3;4;11;7074;1039;0;0;0
244;2021;7;9999;4;1;0;2;-1;0;0;0;0;67;0;11;9;2;0;3;2;12;3754;718;245;0;0
